reviewText,summary,sentiment,review_length,VADER_Sentiment,TextBlob_Sentiment
great arch support and cushion both for the heel and ball of the foot great aerobic shoe,Nice Support,Positive,17,Positive,Positive
love these comfortable light weight great fit,Sooo comfortable,Positive,7,Positive,Positive
i love these  i ordered an 85 which is my normal shoe size and they fit great  i used them for my strength training class and they performed well and they are sooooo pretty  comfortable low profile and stylish,LOVE!,Positive,39,Positive,Positive
great fit so comfortable love them,Five Stars,Positive,6,Positive,Positive
not a fan shoes looked great but too narrow for most feet,Shoes looked great but too narrow for most feet,Neutral,12,Positive,Positive
my wife loves these shoes we have both been wearing sketchers and new balance for several years and recently we have both purchased nike there is a reason why nike is still number 1 after all these years you just cannot beat their comfort,My wife loves these shoes. We have both been ...,Positive,44,Positive,Positive
the sneakers are very comfortable and fit to size,Five Stars,Positive,9,Positive,Positive
excellent ,Five Stars,Positive,1,Positive,Positive
my favorite running shoes  the wall of the shoe is very thin which makes them very comfortable to wear if your feet swell as you run  i would not recommend for use on concrete or a treadmill as there is not very much impact absorption but they are perfect for trail running,Perfect for trails,Positive,52,Positive,Positive
these were exactly what i expected,Five Stars,Positive,6,Neutral,Positive
in really like these i wear between a 995 womens i got the 95 and they fit perfectly they are light weight but have good support i will buy another pair,Great Shoe,Positive,31,Positive,Positive
nikes usually run small and i am a 75 so i ordered these in an 8 and they were actually very roomy  i love them but they are definitely bright orangecoral and not bright crimson like the description said  i thought they would be more red in hue to wear with my ohio state clothes but instead i use them for running,I love them but they are definitely bright orange/coral and not ...,Positive,62,Positive,Positive
these shoes are poorly constructed and i do not expect them to last more that one summer  would not recommend and will not order another nike downshifter series again,Cheap,Negative,29,Negative,Positive
gracias,Five Stars,Positive,1,Neutral,Neutral
not a lot of arch support but really lightweight,Four Stars,Positive,9,Positive,Positive
great arch support and comfortable,Great cross trainer,Positive,5,Positive,Positive
very comfortable sneakers and i also like the way it fits,Four Stars,Positive,11,Positive,Positive
nice looking and fit nice,Four Stars,Positive,5,Positive,Positive
purchased for my daughter for gym class  she loves them  very cute and very comfortable,Great shoes.,Positive,15,Positive,Positive
fit comfortable,Five Stars,Positive,2,Positive,Positive
i love these shoes,Five Stars,Positive,4,Positive,Positive
my new gym shoes love them,Love,Positive,6,Positive,Positive
my favorite nike shoe,Five Stars,Positive,4,Positive,Positive
i always wear a womans 9 in nikes but these are bigger than usual the right one almost slips off my foot a bit  they are really light and not as sturdy as what i was looking for but over all not bad,They are really light and not as sturdy as what I was looking for but over all ...,Neutral,43,Positive,Positive
the fit was perfect i highly recommend this shoe,Five Stars,Positive,9,Positive,Positive
look better than the picture very comfortable great support,PERFECT,Positive,9,Positive,Positive
very nice shoe just a bit to snugsmall for my foot the flex wire really makes it the shoe fit tight to your foot i need more wiggle room in my footwear otherwise i would have kept them,Fits snug,Neutral,38,Positive,Positive
oops i returned these because i ordered wrong size,One Star,Negative,9,Negative,Negative
i have had this style before in a different color and have received many compliments on the shoes  they are great walking shoes  i wear orthotics and these shoes are one of the best i have found to accommodate them for fit,Love these shoes,Positive,42,Positive,Positive
look better than the picture very comfortable great support,PERFECT,Positive,9,Positive,Positive
i use these for my cardio dance class and they are perfect and very cute i would definitely recommend they also cam earlier than expected,Great work out shoe,Positive,25,Positive,Positive
perfect,Five Stars,Positive,1,Positive,Positive
purchased these for our teenage daughter she loves them for both casual wear and sports,Five Stars,Positive,15,Positive,Negative
second pair comfortable and great for people with bunion issues or previous surgeries  sole wears great,staple sneakers,Positive,16,Positive,Positive
comfortable,Five Stars,Positive,1,Positive,Positive
love these shoes my feet feel so much better lots of padding and light enough to run in,Five Stars,Positive,18,Positive,Positive
excellent,Five Stars,Positive,1,Positive,Positive
wore these for the first time hiking the bluffs not the best traction on well worn rocks but super comfy no blisters no achilles pain like with other shoes will continue to purchase nike shoes because my feet love them for all activities  except my home workouts they drag pretty hard on the carpet,Love,Positive,54,Positive,Positive
nike always makes a good shoe abit rough breaking them in but after 9 hours on my feet anyones feet would hurt abit,Nike always makes a good shoe.,Positive,23,Negative,Positive
bought these shoes with hiit in mind but not too sure how i like the fit on my foot first time to wear them not great for running maybe after they are broken in a little they will get better if you just need a comfortable pair of shoes for walking they are fine,OK,Neutral,54,Positive,Positive
my favorite running shoes  the wall of the shoe is very thin which makes them very comfortable to wear if your feet swell as you run  i would not recommend for use on concrete or a treadmill as there is not very much impact absorption but they are perfect for trail running,Perfect for trails,Positive,52,Positive,Positive
love love love,Five Stars,Positive,3,Positive,Positive
good quality,Five Stars,Positive,2,Positive,Positive
just too big otherwise i liked them,Four Stars,Positive,7,Positive,Positive
lightweight comfortable supportive very happy i bought these shoes for working out,Great training shoes,Positive,12,Positive,Positive
i always wear a womans 9 in nikes but these are bigger than usual the right one almost slips off my foot a bit  they are really light and not as sturdy as what i was looking for but over all not bad,They are really light and not as sturdy as what I was looking for but over all ...,Neutral,43,Positive,Positive
they are very comfortable feel like you have nothing on,Five Stars,Positive,10,Positive,Positive
i have been using these to exercise and they are nice a roomy and allow my feet to breath also love the colors,I've been using these to exercise and they are nice a roomy and allow my feet to breath,Positive,23,Positive,Positive
perf,So Perf.,Positive,1,Neutral,Neutral
fit well,Five Stars,Positive,2,Positive,Positive
these shoes are great  this is the second pair that i have purchased and i love them,Really Comfortable Shoes,Positive,17,Positive,Positive
