Review,True Label,VADER,TextBlob,LogReg,SVM,LogReg_Score,SVM_Score,VADER_Score,TextBlob_Score,Real_Rating,Combined_LogReg,Combined_SVM,Combined_VADER,Combined_TextBlob
shirt fit fine out of packaging washed according to instructions shirt shrunk and could not be buttoned,Negative,Positive,Positive,Positive,Positive,5,5,5,5,1,2.2,2.2,2.2,2.2
i love it only problem is the fringe comes off pretty easily but if you are only going to wear it a few times its great,Negative,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i bought these shirts for my boyfriend who had purchased them for himself at another store a few years ago and liked them a lot  these shirts are light yet durable and the fabric is super soft  he loves them  the only difference between these and the old ones he has is that the fabric is a bit thinner now but it isnt bad quality just different  the comfort is what matters most in my opinion  they also have a pleasantly flattering fit,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
in the world of wide brimmed hats this is a breath of high quality and reasonable pricing,Positive,Neutral,Positive,Positive,Positive,5,5,3,5,5,5.0,5.0,4.4,5.0
arrived quickly  looks as expected,Positive,Neutral,Positive,Positive,Positive,5,5,3,5,5,5.0,5.0,4.4,5.0
i was a little skeptical at first purchasing formal wear online without being able to try it on or touch it  i can say that my skepticism went right out the window as soon as i received this shirt high quality fabric the fit is perfect the neckline was my main concern but it fits as though it was tailored just for me  i have already told a few friends about it  really love this shirt and the price isnt bad either,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
wonderful bathrobe  very soft and warm  it kept me warm during this past horrible snowy winter holds up well through numerous washes,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
it is a black shirt but it is more of an xl than m,Positive,Neutral,Positive,Positive,Positive,5,5,3,5,1,2.2,2.2,1.6,2.2
these fit well seem to be made of good quality and thickness fabric and are sewn with high enough quality that i could wear them by themselves and not just as an undershirt,Negative,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the hat was shipped quickly and is just as it was described good quality and nice looking im looking forward to wearing it on a safari in africa this summer,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the handkerchiefs are of excellent quality i would not hesitate to buy more of them,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
this is a cute astronaut helmet for my five old daughter and if she is not wearing it her stuffed animals are,Negative,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
awesome costume  i was a little large but i made it work  wore it for america day in mexico  it was a hit,Neutral,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
i needed a longer chain for one of my charms so i ordered this necklace the picture does not do it justice its a beautiful chain that looks like a diamond cut very classy  i was very impressed and at this price it is the perfect gift item for just about anyone  i received the necklace within a couple of days and strongly recommend,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i bought these in green and black stripe tights for my ugly sweater christmas party with friends  many compliments ,Positive,Positive,Negative,Negative,Positive,1,5,5,1,5,3.8,5.0,5.0,3.8
very good,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
like the stiffer brim holds the shape of the hat better  hat would fit better if my head was a little rounder  somewhat tight at my forehead and in the back while loose on the sides  i am guessing this will just require a bit of a breakin period,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
quick delivery im a large in everything saw the other reviews and i decided to get a medium it fell right off of me  the breast area was huge did not fit at all but the costume looked really nice  good material,Negative,Positive,Positive,Negative,Negative,1,1,5,5,1,1.0,1.0,2.2,2.2
great deal for the money i like things shorter so i put a black belt under the fringe and it looked great i am 54 and weigh 135 it fit very flatteringly,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
my son loves the helmet it complete is costume,Neutral,Positive,Positive,Neutral,Neutral,3,3,5,5,5,4.4,4.4,5.0,5.0
great for the price and it was flattering comfortable to wear its not the best quality but its good for the a costume,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
for the price this is a very cute costume,Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
very nice trim look,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i looked amazing in my costume for my dance concert it held up perfectly,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
these fit well and the colors look nice although the newness of the material wears off pretty fast which is disappointing from ck nevertheless its fine to wear as an undershirt or at home,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the helmet was really neat but lacking in quality a bit the sounds only worked for about 2 months and the visor fell off the first time it was dropped we could put the visor back on but it was very loose and kept falling off from running with it on,Positive,Negative,Positive,Positive,Positive,5,5,1,5,3,3.5999999999999996,3.5999999999999996,2.3999999999999995,3.5999999999999996
